iter	Passed	Remaining
635	1486	850
636	1488	848
637	1490	845
638	1492	842
639	1495	841
640	1497	838
641	1499	836
642	1501	833
643	1503	831
644	1505	828
645	1507	826
646	1509	823
647	1511	821
648	1513	818
649	1515	815
650	1517	813
651	1518	810
652	1520	808
653	1522	805
654	1524	803
655	1526	800
656	1528	797
657	1530	795
658	1531	792
659	1533	789
660	1535	787
661	1537	784
662	1539	782
663	1541	780
664	1543	777
665	1545	774
666	1547	772
667	1548	769
668	1550	767
669	1552	764
670	1555	762
671	1557	760
672	1559	757
673	1561	755
674	1563	752
675	1565	750
676	1567	747
677	1569	745
678	1571	742
679	1573	740
680	1574	737
681	1576	735
682	1578	732
683	1580	730
684	1582	727
685	1584	725
686	1586	722
687	1588	720
688	1589	717
689	1592	715
690	1593	712
691	1595	710
692	1598	708
693	1602	706
694	1603	703
695	1606	701
696	1609	699
697	1611	697
698	1615	695
699	1617	693
700	1619	690
701	1621	688
702	1623	685
703	1625	683
704	1627	680
705	1630	678
706	1632	676
707	1634	673
708	1635	671
709	1637	668
710	1639	666
711	1641	663
712	1643	661
713	1645	659
714	1647	656
715	1649	654
716	1651	651
717	1653	649
718	1654	646
719	1656	644
720	1660	642
721	1663	640
722	1665	637
723	1667	635
724	1669	633
725	1670	630
726	1672	628
727	1675	626
728	1677	623
729	1679	621
730	1681	618
731	1683	616
732	1685	613
733	1686	611
734	1688	608
735	1690	606
736	1692	603
737	1694	601
738	1695	598
739	1697	596
740	1699	593
741	1700	591
742	1702	588
743	1704	586
744	1706	584
745	1708	581
746	1709	579
747	1711	576
748	1713	574
749	1715	571
750	1716	569
751	1718	566
752	1721	564
753	1722	562
754	1724	559
755	1726	557
756	1728	554
757	1729	552
758	1731	549
759	1733	547
760	1735	545
761	1737	542
762	1738	540
763	1740	537
764	1742	535
765	1743	532
766	1745	530
767	1747	527
768	1749	525
769	1750	522
770	1752	520
771	1754	518
772	1755	515
773	1757	513
774	1758	510
775	1760	508
776	1762	505
777	1763	503
778	1765	500
779	1767	498
780	1769	496
781	1770	493
782	1772	491
783	1774	488
784	1775	486
785	1777	483
786	1778	481
787	1780	479
788	1782	476
789	1784	474
790	1786	472
791	1789	469
792	1791	467
793	1793	465
794	1795	463
795	1798	460
796	1799	458
797	1801	456
798	1803	453
799	1804	451
800	1806	448
801	1807	446
802	1810	444
803	1812	441
804	1813	439
805	1815	436
806	1817	434
807	1819	432
808	1821	429
809	1822	427
810	1825	425
811	1827	423
812	1828	420
813	1830	418
814	1832	415
815	1833	413
816	1835	411
817	1837	408
818	1838	406
819	1841	404
820	1842	401
821	1844	399
822	1846	397
823	1848	394
824	1849	392
825	1851	390
826	1853	387
827	1855	385
828	1857	383
829	1859	380
830	1861	378
831	1862	376
832	1864	373
833	1865	371
834	1867	369
835	1869	366
836	1871	364
837	1873	362
838	1875	359
839	1876	357
840	1878	355
841	1880	352
842	1882	350
843	1884	348
844	1886	345
845	1887	343
846	1889	341
847	1891	339
848	1893	336
849	1894	334
850	1896	332
851	1897	329
852	1900	327
853	1902	325
854	1904	322
855	1905	320
856	1907	318
857	1909	315
858	1910	313
859	1912	311
860	1914	309
861	1916	306
862	1918	304
863	1919	302
864	1921	299
865	1923	297
866	1924	295
867	1926	292
868	1928	290
869	1930	288
870	1932	286
871	1934	283
872	1936	281
873	1938	279
874	1939	277
875	1941	274
876	1943	272
877	1946	270
878	1947	268
879	1949	265
880	1951	263
881	1952	261
882	1954	258
883	1956	256
884	1958	254
885	1960	252
886	1962	250
887	1964	247
888	1966	245
889	1968	243
890	1969	240
891	1971	238
892	1973	236
893	1975	234
894	1977	231
895	1979	229
896	1980	227
897	1982	225
898	1984	222
899	1985	220
900	1987	218
901	1989	216
902	1991	213
903	1993	211
904	1994	209
905	1996	207
906	1998	204
907	1999	202
908	2001	200
909	2003	198
910	2005	195
911	2007	193
912	2008	191
913	2010	189
914	2012	186
915	2013	184
916	2015	182
917	2017	180
918	2018	177
919	2020	175
920	2022	173
921	2024	171
922	2026	169
923	2027	166
924	2029	164
925	2030	162
926	2032	160
927	2033	157
928	2036	155
929	2037	153
930	2039	151
931	2041	148
932	2042	146
933	2044	144
934	2046	142
935	2047	140
936	2049	137
937	2051	135
938	2053	133
939	2055	131
940	2056	128
941	2058	126
942	2060	124
943	2061	122
944	2063	120
945	2065	117
946	2067	115
947	2069	113
948	2070	111
949	2072	109
950	2074	106
951	2075	104
952	2077	102
953	2078	100
954	2081	98
955	2083	95
956	2084	93
957	2086	91
958	2087	89
959	2089	87
960	2091	84
961	2092	82
962	2094	80
963	2097	78
964	2099	76
965	2101	73
966	2102	71
967	2104	69
968	2106	67
969	2108	65
970	2110	63
971	2112	60
972	2114	58
973	2116	56
974	2118	54
975	2120	52
976	2122	49
977	2123	47
978	2126	45
979	2128	43
980	2129	41
981	2131	39
982	2133	36
983	2135	34
984	2137	32
985	2139	30
986	2141	28
987	2143	26
988	2145	23
989	2147	21
990	2149	19
991	2150	17
992	2152	15
993	2154	13
994	2157	10
995	2158	8
996	2160	6
997	2162	4
998	2163	2
999	2165	0
