iter	Passed	Remaining
883	1412	185
884	1414	183
885	1415	182
886	1417	180
887	1418	178
888	1420	177
889	1422	175
890	1423	174
891	1425	172
892	1426	170
893	1428	169
894	1430	167
895	1431	166
896	1433	164
897	1435	163
898	1436	161
899	1438	159
900	1439	158
901	1441	156
902	1442	154
903	1444	153
904	1445	151
905	1447	150
906	1449	148
907	1450	146
908	1451	145
909	1453	143
910	1455	142
911	1456	140
912	1458	138
913	1459	137
914	1461	135
915	1462	134
916	1464	132
917	1465	130
918	1467	129
919	1468	127
920	1470	126
921	1471	124
922	1473	122
923	1475	121
924	1476	119
925	1478	118
926	1479	116
927	1481	114
928	1482	113
929	1484	111
930	1486	110
931	1487	108
932	1489	106
933	1490	105
934	1491	103
935	1493	102
936	1495	100
937	1496	98
938	1497	97
939	1499	95
940	1500	94
941	1502	92
942	1503	90
943	1505	89
944	1506	87
945	1508	86
946	1510	84
947	1511	82
948	1513	81
949	1514	79
950	1516	78
951	1517	76
952	1519	74
953	1521	73
954	1522	71
955	1524	70
956	1526	68
957	1528	66
958	1529	65
959	1531	63
960	1533	62
961	1534	60
962	1536	59
963	1538	57
964	1539	55
965	1541	54
966	1542	52
967	1544	51
968	1545	49
969	1547	47
970	1548	46
971	1550	44
972	1551	43
973	1553	41
974	1555	39
975	1556	38
976	1558	36
977	1559	35
978	1561	33
979	1562	31
980	1564	30
981	1566	28
982	1567	27
983	1568	25
984	1570	23
985	1571	22
986	1573	20
987	1575	19
988	1576	17
989	1578	15
990	1579	14
991	1581	12
992	1582	11
993	1584	9
994	1585	7
995	1587	6
996	1588	4
997	1590	3
998	1591	1
999	1593	0
